geo,forest_products_removal_per_ha_dollar,time
afg,0,1990
afg,0,2000
afg,0,2005
afg,0,2010
afg,0,2015
afg,0,9999
ago,2.42,1990
ago,2.37,2000
ago,2.34,2005
ago,2.32,2010
ago,2.29,2015
ago,2.29,9999
alb,685,1990
alb,620,2000
alb,611.3,2005
alb,614.2,2010
alb,629,2015
alb,629,9999
are,0,1990
are,0,2000
are,0,2005
are,0,2010
are,0,2015
are,0,9999
arg,766,1990
arg,1076,2000
arg,1173,2005
arg,1187,2010
arg,1202,2015
arg,1202,9999
arm,68.2,2010
arm,68.2,2015
arm,68.2,9999
asm,0,1990
asm,0,2000
asm,0,2005
asm,0,2010
asm,0,2015
asm,0,9999
aus,1023,1990
aus,1176,2000
aus,1628,2005
aus,1903,2010
aus,2017,2015
aus,2017,9999
aut,2621,1990
aut,2635,2000
aut,2302,2005
aut,2307,2010
aut,2313,2015
aut,2313,9999
bdi,186,1990
bdi,86,2000
bdi,78,2005
bdi,113,2010
bdi,120,2015
bdi,120,9999
bel,0,1990
bel,0,2000
bel,0,2005
bel,0,2010
bel,0,2015
bel,0,9999
ben,1436,1990
ben,1436,2000
ben,1436,2005
ben,1436,2010
ben,1436,2015
ben,1436,9999
bgd,280,1990
bgd,285,2000
bgd,276,2005
bgd,340,2010
bgd,340,2015
bgd,340,9999
bgr,2365,1990
bgr,2258,2000
bgr,2561,2005
bgr,2387,2010
bgr,2213,2015
bgr,2213,9999
bhr,0,1990
bhr,0,2000
bhr,0,2005
bhr,0,2010
bhr,0,2015
bhr,0,9999
bih,1163,1990
bih,1226,2000
bih,1226,2005
bih,1226,2010
bih,1226,2015
bih,1226,9999
blm,0,1990
blm,0,2000
blm,0,2005
blm,0,2010
blm,0,2015
blr,4498,1990
blr,4183,2000
blr,4186,2005
blr,4282,2010
blr,4561.1,2015
blr,4561.1,9999
blz,0,2010
bol,41.23,1990
bol,41.23,2000
bol,41.23,2005
bol,40.23,2010
bol,39.13,2015
bol,39.13,9999
bra,14815,1990
bra,23177,2000
bra,39573,2005
bra,63011,2010
bra,63778,2015
bra,63778,9999
brn,138,1990
brn,219,2000
brn,219,2005
brn,219,2010
brn,219,2015
brn,219,9999
btn,47,1990
btn,140.64,2000
btn,160.33,2005
btn,235.05,2010
btn,273.34,2015
btn,273.34,9999
bwa,420,1990
bwa,0,2000
bwa,0,2005
bwa,0,2010
bwa,0,2015
bwa,0,9999
caf,4826,1990
caf,4826,2000
caf,4826,2005
caf,4826,2010
caf,4826,2015
caf,4826,9999
can,18373,1990
can,18349,2000
can,18337,2005
can,18322,2010
can,18310,2015
can,18310,9999
che,352,1990
che,365,2000
che,372,2005
che,377,2010
che,383,2015
che,383,9999
chl,6448,1990
chl,7013,2000
chl,7297,2005
chl,7485,2010
chl,6834.6,2015
chl,6834.6,9999
chn,114102.5,1990
chn,107985.8,2000
chn,85384,2005
chn,89345.5,2010
chn,92958.1,2015
chn,92958.1,9999
civ,9397,1990
civ,9155,2000
civ,9232,2005
civ,9230,2010
civ,9228,2015
civ,9228,9999
cmr,10814,1990
cmr,10983,2000
cmr,13443,2005
cmr,14561,2010
cmr,15679,2015
cmr,15679,9999
cod,22000,2005
cod,15300,2010
cod,12300,2015
cod,12300,9999
cog,20042,1990
cog,19892,2000
cog,19817,2005
cog,19768,2010
cog,19719,2015
cog,19719,9999
cok,0,1990
cok,0,2000
cok,0,2005
cok,0,2010
cok,0,2015
com,7,1990
com,3,2000
com,1,2005
com,1,2010
com,1,2015
com,1,9999
cpv,46.2,1990
cpv,65.68,2000
cpv,66.88,2005
cpv,68.07,2010
cpv,71.92,2015
cpv,71.92,9999
cri,369,2005
cri,377,2010
cri,203,2015
cri,203,9999
cub,741,1990
cub,725,2000
cub,825,2005
cub,905,2010
cub,1075,2015
cub,1075,9999
cyp,43.22,1990
cyp,43.17,2000
cyp,41.4,2005
cyp,41.4,2010
cyp,41.12,2015
cyp,41.12,9999
cze,1534,1990
cze,2024,2000
cze,2014,2005
cze,1994,2010
cze,1980,2015
cze,1980,9999
dji,0,1990
dji,0,2000
dji,0,2005
dji,0,2010
dji,0,2015
dji,0,9999
dnk,426,1990
dnk,464,2000
dnk,403,2005
dnk,459,2010
dnk,484,2015
dnk,484,9999
dom,6.6,1990
dom,42.7,2000
dom,42.7,2005
dom,61.5,2010
dom,62.3,2015
dom,62.3,9999
dza,596,1990
dza,562,2000
dza,544,2005
dza,526,2010
dza,526,2015
dza,526,9999
ecu,44.44,1990
ecu,70.15,2000
ecu,65.18,2005
ecu,60.21,2010
ecu,55.24,2015
ecu,55.24,9999
egy,0,1990
egy,0.4,2000
egy,1.3,2005
egy,1.5,2010
egy,1.5,2015
egy,1.5,9999
eri,27.1,2000
eri,30,2005
eri,32.9,2010
eri,35.8,2015
eri,35.8,9999
esp,1260.51,1990
esp,3471.51,2000
esp,3533.91,2005
esp,3439.6,2010
esp,3471.77,2015
esp,3471.77,9999
est,1629,1990
est,1746,2000
est,1556,2005
est,1668,2010
est,1657,2015
est,1657,9999
eth,491,1990
eth,491,2000
eth,491,2005
eth,511,2010
eth,972,2015
eth,972,9999
fin,20476,1990
fin,19546,2000
fin,18949,2005
fin,18851.2,2010
fin,18851.2,2015
fin,18851.2,9999
fji,86,1990
fji,117,2000
fji,133,2005
fji,141,2010
fji,154,2015
fji,154,9999
flk,0,1990
flk,0,2000
flk,0,2005
flk,0,2010
flk,0,2015
fra,6193,2010
fro,0,1990
fro,0,2000
fro,0,2005
fro,0,2010
fro,0,2015
fro,0,9999
fsm,0,1990
fsm,0,2000
fsm,0,2005
fsm,0,2010
fsm,0,2015
fsm,0,9999
gab,19078,1990
gab,19078,2000
gab,10979,2005
gab,9987,2010
gab,14011,2015
gab,14011,9999
geo,0,1990
geo,0,2000
geo,0,2005
geo,0,2010
geo,0,2015
geo,0,9999
gha,3159,1990
gha,2575,2000
gha,1507,2005
gha,1514,2010
gha,1517,2015
gha,1517,9999
gib,0,1990
gib,0,2000
gib,0,2005
gib,0,2010
gib,0,2015
gib,0,9999
gin,118,1990
gin,119,2000
gin,119,2005
gin,119,2010
gin,119,2015
gin,119,9999
glp,12.8,1990
glp,2.8,2000
glp,2.8,2005
glp,2.8,2010
glp,2.8,2015
glp,2.8,9999
gmb,1.3,1990
gmb,1.3,2000
gmb,1.4,2005
gmb,1.4,2010
gmb,1.5,2015
gmb,1.5,9999
gnb,1461,1990
gnb,1052,2000
gnb,820,2005
gnb,590,2010
gnb,590,2015
gnb,590,9999
gnq,249,2000
gnq,190,2005
gnq,87,2010
gnq,428,2015
gnq,428,9999
grc,3040,1990
grc,3317,2000
grc,3456,2005
grc,3595,2010
grc,3595,2015
grc,3595,9999
grd,0.21,1990
grd,0.21,2000
grd,0.21,2005
grd,0.21,2010
grl,0,1990
grl,0,2000
grl,0,2005
grl,0,2010
grl,0,2015
grl,0,9999
gtm,22,1990
gtm,26,2000
gtm,29,2005
gtm,17,2010
gtm,15,2015
gtm,15,9999
guf,181,1990
guf,0,2000
