key,value,file
concept,name,ddf--concepts.csv
concept,concept_type,ddf--concepts.csv
concept,domain,ddf--concepts.csv
concept,indicator_url,ddf--concepts.csv
concept,color,ddf--concepts.csv
concept,scales,ddf--concepts.csv
concept,drill_up,ddf--concepts.csv
concept,unit,ddf--concepts.csv
concept,description,ddf--concepts.csv
"geo,time",forest_products_removal_total_dollar,ddf--datapoints--forest_products_removal_total_dollar--by--geo--time.csv
"geo,time",epidemic_affected_annual_number,ddf--datapoints--epidemic_affected_annual_number--by--geo--time.csv
"geo,time",hourly_compensation_us,ddf--datapoints--hourly_compensation_us--by--geo--time.csv
"geo,time",life_expectancy_years,ddf--datapoints--life_expectancy_years--by--geo--time.csv
"geo,time",income_per_person_gdppercapita_ppp_inflation_adjusted,ddf--datapoints--income_per_person_gdppercapita_ppp_inflation_adjusted--by--geo--time.csv
"geo,time",population_total,ddf--datapoints--population_total--by--geo--time.csv
"geo,time",sg_gdp_p_cap_const_ppp2011_dollar,ddf--datapoints--sg_gdp_p_cap_const_ppp2011_dollar--by--geo--time.csv
"geo,time",sg_gini,ddf--datapoints--sg_gini--by--geo--time.csv
"geo,time",sg_population,ddf--datapoints--sg_population--by--geo--time.csv
country,gwid,ddf--entities--geo--country.csv
country,name,ddf--entities--geo--country.csv
country,geographic_regions,ddf--entities--geo--country.csv
country,landlocked,ddf--entities--geo--country.csv
country,main_religion_2008,ddf--entities--geo--country.csv
country,gapminder_list,ddf--entities--geo--country.csv
country,god_id,ddf--entities--geo--country.csv
country,code,ddf--entities--geo--country.csv
country,number,ddf--entities--geo--country.csv
country,is--country,ddf--entities--geo--country.csv
country,world_4region,ddf--entities--geo--country.csv
country,latitude,ddf--entities--geo--country.csv
country,longitude,ddf--entities--geo--country.csv
geographic_regions,name,ddf--entities--geo--geographic_regions.csv
geographic_regions,gwid,ddf--entities--geo--geographic_regions.csv
geographic_regions,is--geographic_regions,ddf--entities--geo--geographic_regions.csv
geo,is--global,ddf--entities--geo--global.csv
geo,name,ddf--entities--geo--global.csv
geo,latitude,ddf--entities--geo--global.csv
geo,longitude,ddf--entities--geo--global.csv
landlocked,name,ddf--entities--geo--landlocked.csv
landlocked,gwid,ddf--entities--geo--landlocked.csv
landlocked,is--landlocked,ddf--entities--geo--landlocked.csv
main_religion_2008,name,ddf--entities--geo--main_religion_2008.csv
main_religion_2008,gwid,ddf--entities--geo--main_religion_2008.csv
main_religion_2008,is--main_religion_2008,ddf--entities--geo--main_religion_2008.csv
geo,is--world_4region,ddf--entities--geo--world_4region.csv
geo,name,ddf--entities--geo--world_4region.csv
geo,name_short,ddf--entities--geo--world_4region.csv
geo,name_long,ddf--entities--geo--world_4region.csv
geo,description,ddf--entities--geo--world_4region.csv
geo,latitude,ddf--entities--geo--world_4region.csv
geo,longitude,ddf--entities--geo--world_4region.csv
geo,color,ddf--entities--geo--world_4region.csv
